Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S38337709,Canada Goose,Branta canadensis,277,100,CA-BC,Central Kootenay,Creston--Channel Road,49.1978588,-116.588974,07-25-2017,03:10 PM,eBird - Casual Observation,,0,,,4,,,"Driving along channel road, 5.4km."
S38337528,Canada Goose,Branta canadensis,277,15,CA-BC,Central Kootenay,Creston--Duck Lake,49.2227014,-116.6286349,07-25-2017,03:59 PM,eBird - Traveling Count,79,1,2.5,,4,,,Driving along road through Duck Lake from pumphouse to dike.
S38337845,Canada Goose,Branta canadensis,277,45,CA-BC,East Kootenay,"Elizabeth Lake, Cranbrook",49.4987833,-115.7931167,07-20-2017,09:18 AM,eBird - Traveling Count,120,1,1,,2
S38345670,Canada Goose,Branta canadensis,277,4,CA-BC,East Kootenay,McGinty Lake,49.686234,-115.8592415,07-26-2017,07:55 AM,eBird - Traveling Count,170,1,3.3,,8
S44123465,Canada Goose,Branta canadensis,277,4,GB-ENG,London,Kensington Gardens,51.5070009,-.1806521,03-31-2018,05:15 PM,eBird - Traveling Count,93,1,1.78,,2
S44148466,Canada Goose,Branta canadensis,277,14,GB-ENG,London,London Wetland Centre WWT Reserve,51.479496,-.232569,04-01-2018,11:34 AM,eBird - Traveling Count,172,1,2.14,,2
S44157009,Canada Goose,Branta canadensis,277,26,GB-ENG,London,London Wetland Centre WWT Reserve,51.479496,-.232569,04-01-2018,03:32 PM,eBird - Traveling Count,123,1,1.92,,2
S44212227,Canada Goose,Branta canadensis,277,25,GB-ENG,London,Regents Park--Boating Lake,51.5272756,-.1590443,04-03-2018,10:18 AM,eBird - Traveling Count,148,1,2,,2
S44113477,Canada Goose,Branta canadensis,277,2,GB-ENG,London,St James Park,51.5031329,-.1338959,03-31-2018,02:16 PM,eBird - Traveling Count,17,1,.16,,2
S39120037,Canada Goose,Branta canadensis,277,7,CA-BC,Metro Vancouver,"333 North Road, Coquitlam, British Columbia, CA (49.244, -122.892)",49.2438717,-122.8919164,09-10-2017,07:15 PM,eBird - Traveling Count,8,1,.41,,2,F Flyover
